SampleID,Isdrillhol,SiO2_4AES_,TiO2_4AES_,Al2O3_4AES,Fe2O3_4AES,MnO_4AES_p,MgO_4AES_p,CaO_4AES_p,Na2O_4AES_,K2O_4AES_p,P2O5_4AES_,Cr2O3_4AES,TOT_C_4AES,TOT_S_4AES,LOI_4AES_p,Sum_4AES_p,Ba_4AES_pp,Cu_1DXMS_p,Pb_1DXMS_p,Zn_1DXMS_p,Ag_1DXMS_p,Au_1DXMS_p,As_1DXMS_p,Sb_1DXMS_p,Bi_1DXMS_p,Cd_1DXMS_p,Hg_1DXMS_p,Tl_1DXMS_p,Se_1DXMS_p,V_4AES_ppm,Ni_1DXMS_p,Co_4AES_pp,Sc_4AES_pp,Rb_4AES_pp,Sr_4AES_pp,Cs_4AES_pp,Sn_4AES_pp,W_4AES_ppm,Mo_1DXMS_p,Ga_4AES_pp,Be_4AES_pp,U_4AES_ppm,Hf_4AES_pp,Ta_4AES_pp,Th_4AES_pp,Nb_4AES_pp,Y_4AES_ppm,Zr_4AES_pp,La_4AES_pp,Ce_4AES_pp,Pr_4AES_pp,Nd_4AES_pp,Sm_4AES_pp,Eu_4AES_pp,Gd_4AES_pp,Tb_4AES_pp,Dy_4AES_pp,Ho_4AES_pp,Er_4AES_pp,Tm_4AES_pp,Yb_4AES_pp,Lu_4AES_pp,Wgt_4AES_k
74F0144,N,49.19,2.48,12.3,17.34,0.22,4.7,6.5,2.07,0.18,0.326,<0.002,0.35,0.06,4.4,99.75,54,58.2,0.7,145,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,451,39.9,44.8,42,3.1,102.3,0.3,<1,<0.5,0.3,18.7,<1,0,2.9,0.2,0.5,4.4,35.4,107.3,5.4,15.6,2.43,13.2,3.95,1.51,5.57,0.97,6.05,1.28,3.81,0.52,3.63,0.57,1.14
74F1214,N,49.84,2.63,12.85,15.97,0.2,3.93,7.18,5.36,0.38,0.288,0.01,0.06,0.11,1.1,99.75,64,86.6,3.9,42,<0.1,<0.5,<0.5,<0.1,0.1,<0.1,<0.01,<0.1,<0.5,519,20.4,41.8,44,8.8,175.9,0.2,<1,0.7,5.8,17.6,<1,0,2.6,0.2,0,3.5,31.6,86.1,4.1,12,1.91,10.3,3.57,1.29,4.7,0.89,5.43,1.16,3.59,0.54,3.26,0.52,1.02
74F1178,N,46.62,2.683,12.57,17.83,0.23,5.44,8.08,2.93,0.25,0.258,0.012,0.18,<0.02,2.8,99.72,40,54.3,1,62,<0.1,1.2,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,575,45.3,44.3,44,8.4,173.3,0.2,<1,<0.5,0.2,18.4,<1,0,3,0.2,0.4,4,33.3,95,4.7,12.4,2.06,10.5,3.62,1.51,4.73,0.9,5.67,1.2,3.53,0.55,3.45,0.54,0.78
74F1182,N,46.82,2.728,12.69,17.16,0.25,6.93,7.11,2.48,0.38,0.289,0.01,0.02,0.28,2.9,99.72,74,44.9,1.3,59,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,0.6,493,39.4,42.3,44,10.2,106.1,0.5,<1,<0.5,0.1,17.2,<1,0,3.1,0.2,0.4,4,34.2,94.6,4.7,13.3,2.12,11,3.79,1.34,5.11,0.96,5.87,1.29,3.76,0.53,3.52,0.55,0.77
74J0839,N,46.75,2.741,12.66,17.58,0.28,5.86,10.11,2.08,0.54,0.275,0.012,0.03,0.18,0.8,99.73,69,57.8,3,40,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,549,29.4,47.4,47,21.3,102.8,0.3,<1,<0.5,5.8,17.7,<1,0,2.2,0.2,0.5,3.1,29.6,82.9,3.6,11.1,1.77,9.8,3.23,1.29,4.42,0.82,5.23,1.03,3.17,0.46,3,0.48,0.75
74F1196,N,46.84,2.825,12.95,17.28,0.22,6.65,8.38,1.96,0.5,0.285,0.011,0.04,0.06,1.8,99.7,248,31.7,1.5,55,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,518,35.8,43.6,45,13.8,149.8,0.8,<1,<0.5,0.4,18.9,<1,0,2.8,0.2,0.4,3.7,33.3,93.5,4.5,12.5,2.12,11.5,3.67,1.51,4.91,0.92,5.71,1.21,3.59,0.53,3.53,0.55,0.78
74F0127,N,45.71,2.637,11.77,19.22,0.3,5.51,8.86,2.27,0.5,0.247,0.005,0.07,0.05,2.7,99.72,89,49.9,2.8,110,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,557,42.6,42.1,45,10.5,114.2,0.4,<1,<0.5,0.1,17,<1,0,2.9,0.2,0.5,4,33.4,96.5,4.4,12.6,2.06,10.9,3.51,1.45,4.9,0.9,5.47,1.15,3.59,0.5,3.38,0.54,0.81
73S0711,N,48.07,2.529,11.05,20.83,0.28,4.15,8.26,2.32,0.12,0.15,<0.002,0.05,0.32,2,99.77,42,70.6,1.8,75,<0.1,12.7,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,604,4.1,59.6,54,3.4,98.9,0.6,<1,<0.5,0.3,21.7,<1,0.1,3.4,0.3,0.4,5.3,35,105.5,5.8,16.7,2.59,13,4.15,1.38,5.55,1.05,6.72,1.43,4.27,0.63,4.2,0.62,0.56
74F0624,N,50.7,2.728,11.48,17.42,0.26,5.25,5.31,2.55,1.16,0.327,<0.002,0.04,<0.02,2.6,99.76,284,11.1,2.6,113,<0.1,<0.5,0.6,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,323,9.2,33.8,42,19.5,84.3,0.7,<1,<0.5,0.2,17.8,<1,0,3.5,0.3,0.6,5,41.6,122.3,6.1,18.3,2.8,14.8,4.93,1.82,6.32,1.16,7.15,1.5,4.4,0.63,4.1,0.67,0.93
74F1190,N,49.46,3.14,12.61,15.51,0.25,3.36,11.3,1.39,0.22,0.337,0.011,0.04,0.18,2.1,99.71,42,60.6,2.3,53,<0.1,1.2,<0.5,<0.1,0.1,<0.1,<0.01,<0.1,<0.5,587,37.1,40.3,53,5.6,584.4,0.2,<1,3.6,0.4,24.3,<1,0,3.1,0.3,0.2,4.4,40,105.8,5.1,14.7,2.46,12.2,4.45,1.81,5.87,1.11,6.57,1.49,4.35,0.65,4.16,0.64,0.96
