SampleID,SiO2,TiO2,Al2O3,Fe2O3,MnO,MgO,CaO,Na2O,K2O,P2O5,Cr2O3,Total C,Total S,LOI,Sum,Ba,Cu,Pb,Zn,Ag,Au,As,Sb,Bi,Cd,Hg,Tl,Se,V,Ni,Co,Sc,Rb,Sr,Cs,Sn,W,Mo,Ga,Be,U,Hf,Ta,Th,Nb,Y,Zr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Wgt,Affinity,Group,Total_BM
83J0284,48.12,0.827,11.3,9.14,0.15,8.78,6.52,2.05,4.79,0.308,0.082,1.4,<0.02,7.4,99.53,1548,7.4,6.4,135,<0.1,0.5,1.6,<0.1,<0.1,0.2,<0.01,1.4,<0.5,193,228.2,40.4,24,208.7,343.2,23,1,<0.5,1.7,18.8,6,1.2,3.3,0.3,4.2,4.6,21,113.5,28,64.9,8.4,36.7,7.7,1.7,6.1,0.9,4.4,0.8,2,0.3,1.7,0.3,1.6,ALK,Mafic,148.8
85J0789,49.44,0.46,10.23,6.64,0.12,7.84,6.78,3,1.31,0.17,0.083,2.76,0.02,12.3,98.31,226,20,3,60,< 0.5,,< 5,4,< 0.4,,,< 0.1,,118,,27,17,16,497,0.8,2,3,< 2,12,< 1,0.8,2.1,0.2,3.9,3,11,79,23,43.2,5.4,20.8,3.6,1,3.2,0.4,2.2,0.4,1.2,0.2,1.2,0.2,,ALK,Mafic,83
85J0830,42.07,0.668,9.67,9.09,0.19,11.47,9.18,2.09,4.24,0.482,0.106,2.38,0.05,10.2,99.48,1914,10.7,9.7,82,<0.1,<0.5,1.9,<0.1,0.2,0.1,<0.01,1,<0.5,189,131.1,42.7,26,172.3,392.8,13,1,<0.5,1.2,12.2,2,1.2,2.4,0.2,4.6,3.8,19.7,93.6,44,100.6,12.3,52.4,9.3,2.3,6.5,0.9,4.2,0.7,1.6,0.2,1.4,0.2,1.4,ALK,Mafic,102.4
92J0158,51.56,0.647,11.36,8.45,0.14,11.7,8.37,2.49,1.45,0.404,0.125,0.05,<0.02,2.8,99.52,1187,19.4,2.7,43,<0.1,2.1,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,160,133.5,46,22,46.8,407.8,0.6,1,0.8,<0.1,13.5,1,1.5,3.3,0.2,8.6,4.2,16.3,121.5,42.2,96.8,11.3,45.9,8.5,2.2,6.1,0.8,3.5,0.6,1.4,0.2,1.2,0.2,0.6,ALK,Mafic,65.1
93D0273,53.91,0.691,12.62,8.51,0.15,8,7.34,3.04,3.11,0.492,0.061,0.05,<0.02,1.6,99.52,1458,29.6,5.1,35,<0.1,<0.5,<0.5,<0.1,0.1,<0.1,<0.01,0.1,0.6,182,53.9,35.6,26,72.6,674.1,2.4,1,0.6,0.4,15.8,3,2.1,3,0.2,5.3,4.4,16.1,102.3,22.8,52.1,6.7,28.8,6.5,1.7,5.3,0.7,3.1,0.6,1.5,0.2,1.4,0.2,0.6,ALK,Mafic,69.7
BH-23-1 19.8M,44.33,0.761,12.61,6.94,0.08,3.16,14.09,5.44,0.06,0.651,0.024,2.78,0.16,11.7,99.82,24,4.9,1.2,36,<0.1,168.9,2.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,218,32.1,25.2,25,1.1,133.3,<0.1,1,9.5,0.1,15.2,<1,2.7,4.9,0.2,10.7,5.8,31.3,177.5,34.6,82.8,10.4,47.2,9.8,2.4,9.2,1.3,6,1.1,2.8,0.4,2.2,0.3,0.7,ALK,Mafic,42.1
BLH-22,46.63,0.799,11.38,9.58,0.16,11.12,10.71,1.71,3.38,0.815,0.077,0.22,0.02,3,99.39,1480,84.4,17.1,77,<0.1,<0.5,1,<0.1,0.2,<0.1,<0.01,0.2,<0.5,192,153.4,45.1,31,91.7,896.5,1.9,1,<0.5,<0.1,12.8,2,2.1,5.2,0.4,7.3,6.8,27.5,190.4,63.7,144.9,17.7,71.2,13,3.2,9.4,1.2,5.6,0.9,2.2,0.3,2,0.3,0.9,ALK,Mafic,178.5
KL0242 9.9M,36.98,0.897,9.23,10.69,0.2,8.33,10.67,1.51,3.45,0.674,0.037,4.29,0.2,16.9,99.54,1219,93.4,6.9,48,<0.1,4.1,2.5,0.4,0.1,0.1,<0.01,<0.1,<0.5,223,41.3,32.2,33,50.3,654.6,1.2,2,8.2,1.3,10.6,<1,1.3,3.5,0.1,8.7,4,23.8,109.5,61.8,150.7,18.6,79.6,15.2,3.7,10.9,1.3,6.1,0.9,2.2,0.3,1.7,0.3,0.6,ALK,Mafic,148.3
KL0416 14FT,47.41,0.913,13.28,7.72,0.13,7.58,5.95,3.27,2.23,0.374,0.019,2.24,<0.02,10.8,99.72,388,55.3,1.9,79,<0.1,<0.5,0.8,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,146,43.2,22.3,17,61.6,274.4,1.9,2,0.9,0.2,13.7,1,1.4,4.1,0.3,5.5,5.6,21.7,145.1,31,71.1,8.2,33.7,6.8,1.8,5.5,0.8,4.4,0.9,2.5,0.4,2.3,0.4,0.6,ALK,Mafic,136.2
KL0421 18FT,50.24,0.73,11.74,7.51,0.14,5.19,7.06,2.97,2.06,0.494,0.024,2.74,0.06,11.5,99.62,1503,97.8,3.9,46,<0.1,4.1,2,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,141,33.3,28.3,20,66.6,381.8,3.2,1,1.5,<0.1,11.5,1,2,3.5,0.2,7.1,4.9,18.3,131.9,35.5,81.6,9.4,35.9,7.5,2,5.7,0.8,3.8,0.7,2,0.3,1.7,0.3,0.6,ALK,Mafic,147.7
KL0621 24FT,47.34,0.894,14.99,8.44,0.15,3.39,6.27,1.96,5.47,0.492,0.01,2.43,0.04,10.3,99.7,1122,77.3,6.3,32,<0.1,2,2.7,1.1,0.1,<0.1,<0.01,0.1,<0.5,163,11.8,15.4,17,176.4,450.4,4.7,1,3.7,0.6,18.6,3,2.1,3.9,0.3,7.4,5.4,21.4,160.3,42.4,89.6,11.1,47,8.3,2.2,6.2,0.8,4.4,0.7,1.9,0.3,1.8,0.3,0.8,ALK,Mafic,115.6
KL0624 20FT,46.4,0.98,16.48,8.21,0.13,3.71,5.8,0.54,6.37,0.554,0.011,2.27,0.04,10.5,99.69,1019,108.4,6.1,34,<0.1,4.5,2,1.2,<0.1,<0.1,<0.01,0.2,<0.5,187,9.2,13.8,19,233.2,463.3,7.4,1,11.2,1.8,21.1,4,1.9,5,0.3,7.9,6,23.2,159.9,48.7,102.5,12.5,53.5,9.2,2.4,6.8,0.9,4.7,0.8,2.2,0.3,2,0.3,0.6,ALK,Mafic,148.5
KL1296 128FT,43.52,0.794,11.22,10.35,0.2,8.94,11.72,1.28,1.34,0.401,0.057,2.31,0.02,3,92.88,789,109.4,12.8,85,<0.1,3.9,8.5,0.1,<0.1,<0.1,<0.01,<0.1,<0.5,265,55.3,38.7,39,35.3,445.9,2,1,0.6,0.1,13.3,2,1.2,2.2,0.1,4.6,2.4,22.9,87.9,35.5,75.3,9.6,40.3,7.8,2,6.4,0.9,4.4,0.8,2.1,0.3,2,0.3,0.7,ALK,Mafic,207.2
KL1801 32FT,48,0.799,12.49,8.47,0.13,6.76,7.33,3.32,4.06,0.536,0.04,1.43,<0.02,7.5,99.45,1666,87.5,3.1,63,<0.1,<0.5,2,0.4,<0.1,<0.1,<0.01,1,<0.5,168,64.6,30.8,21,142.8,1207.5,21.4,1,<0.5,0.6,16.3,4,2.4,3.5,0.3,7.5,5,20.3,139.9,40.8,93.9,10.7,44.3,8.4,2.2,6.6,0.9,4.4,0.7,2,0.3,1.9,0.3,0.6,ALK,Mafic,153.6
KL2056 25FT,47.68,1.036,14.64,10.49,0.16,4.64,6.99,3.96,3.99,0.506,0.006,0.89,0.03,5.3,99.43,1974,121.9,5.2,74,<0.1,0.6,23.2,0.6,<0.1,<0.1,<0.01,<0.1,<0.5,270,16.6,27.3,28,72.7,997.3,3.5,1,4.9,0.3,18.1,1,7.7,4.6,0.2,8.7,4.9,27.4,153.5,50.4,114.1,13.8,57.8,10.6,2.7,7.9,1.1,5.1,0.9,2.5,0.4,2.5,0.4,0.6,ALK,Mafic,201.1
KL2310 58FT,43.86,0.943,12.2,9.8,0.2,6.74,7.96,3.57,1.16,0.358,0.029,3.12,0.07,12.9,99.75,125,43,1.4,61,<0.1,<0.5,2.8,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,215,50.9,28.9,21,44.8,195.5,2,<1,7.5,0.3,16.8,1,1.2,3,0.2,4.4,3.7,21.1,98.9,22.7,49.3,6.2,26.8,6.2,1.8,5.7,0.8,4.1,0.7,2,0.3,1.8,0.3,0.5,ALK,Mafic,105.4
MON162,47.11,0.752,13.42,9.18,0.15,8.17,7.28,3.11,1.44,0.494,0.049,1.31,0.05,8.5,99.62,714,69.9,10.8,81,0.5,<0.5,1,<0.1,3.4,0.2,<0.01,<0.1,<0.5,194,73.8,37.6,25,16.1,464,0.4,<1,0.7,1.5,15.6,1,1.3,3,0.2,4.6,4.9,19.1,108.5,33,78.7,9.5,38.5,7.4,1.9,5.3,0.8,3.7,0.6,1.9,0.3,1.8,0.2,0.8,ALK,Mafic,161.7
TI0428,52.83,0.753,13.6,8.66,0.17,7.3,9.01,3.34,1.91,0.297,0.054,0.03,0.1,1.7,99.66,757,9.7,2.4,28,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,200,25.1,32,25,35,569.3,0.2,<1,<0.5,<0.1,16.3,<1,1.5,2.8,0.2,6.3,4.2,19.2,107.2,34.1,79.4,9.5,39.1,7.2,2.1,5.7,0.8,3.9,0.7,1.8,0.3,1.6,0.3,0.8,ALK,Mafic,40.1
TI3573,43.18,0.804,8.95,9.49,0.3,11.8,14.18,1.67,0.12,1.189,0.119,1.3,<0.02,7.8,99.66,92,12.5,6.9,63,<0.1,1.1,0.5,<0.1,0.4,0.3,0.01,<0.1,<0.5,150,116.4,46.9,28,3.1,265.2,<0.1,3,<0.5,<0.1,11.2,1,1.3,4.8,0.6,14.2,6.8,21.7,159.7,71.8,165.2,19.4,75.7,13.6,3.6,10,1.2,4.8,0.7,1.9,0.3,1.6,0.2,0.7,ALK,Mafic,82.4
74F1217,48.05,0.962,12.12,11.2,0.27,7.96,11.09,3.31,0.71,0.677,0.055,0.12,0.23,3.1,99.51,212,29.7,1045.1,332,0.2,0.6,<0.5,<0.1,0.2,8.4,<0.01,<0.1,<0.5,283,51.4,40.6,33,15.3,518.5,0.1,2,<0.5,0.3,21.6,3,2,3.8,0.3,5.3,4.7,24.6,130.6,30.8,73.4,9.4,40.3,8.6,2.3,7.2,1,4.9,0.9,2.5,0.4,2.3,0.4,1.3,ALK,Mafic,1406.8
83J0226,50.39,0.888,10.56,9.83,0.15,11.42,7.71,2.67,2.64,0.358,0.106,0.23,<0.02,2.8,99.58,565,48.5,6.6,55,<0.1,2.2,3.2,0.1,<0.1,<0.1,<0.01,0.2,<0.5,205,120.3,46.3,29,84.5,543.6,6.3,1,0.6,<0.1,15.3,2,1.3,3.6,0.2,4.6,4,19.4,118.9,23.9,59.2,7.2,31.4,7.2,2,6.1,0.8,4,0.7,1.9,0.3,1.7,0.2,0.7,ALK,Mafic,110.1
83J0231,53.95,0.943,13.24,8.59,0.15,7.28,6.43,2.58,3.04,0.416,0.044,0.22,<0.02,2.9,99.59,711,82.5,10.7,109,<0.1,0.9,0.6,<0.1,<0.1,0.1,<0.01,0.2,<0.5,184,57.3,28.9,21,78.4,623.4,3.7,1,1.4,0.8,18.7,2,1.7,4.5,0.3,5.9,5.4,21.1,160.8,35.6,84.3,9.8,41.4,8.3,2.2,6.8,0.9,4.4,0.8,2.1,0.3,1.7,0.3,0.8,ALK,Mafic,202.2
83J0244,51.23,0.898,12.98,8.48,0.14,7.11,5.82,2.14,3.67,0.419,0.037,1.04,<0.02,6.7,99.58,1128,58.2,3.8,86,<0.1,1.1,2.5,<0.1,<0.1,<0.1,<0.01,0.3,<0.5,193,43,31.2,21,125.9,452.2,6.5,2,1,1.6,17.6,2,1.8,4.1,0.3,5.3,5.8,21.9,152.5,28.8,68.7,8.5,35,6.9,1.7,5.5,0.8,4.1,0.8,2.2,0.3,1.9,0.3,1,ALK,Mafic,148
83J0249,51.22,0.856,11.34,8.87,0.15,9.18,7.6,2.74,3.33,0.366,0.082,0.54,<0.02,3.8,99.55,1020,56.2,3,67,<0.1,0.6,3.3,0.1,<0.1,<0.1,<0.01,0.6,<0.5,198,81.8,40.7,24,116.5,616.3,9.4,1,0.6,<0.1,15.8,1,1.6,3.7,0.3,4.8,4.2,19.1,128.7,28.7,69.5,8.8,36.4,7.1,1.9,5.7,0.8,3.7,0.6,1.7,0.3,1.4,0.2,1,ALK,Mafic,126.2
83J0182,52.93,0.837,12.98,8.93,0.15,8.33,7.21,3.51,2.6,0.366,0.078,0.04,<0.02,1.6,99.55,1025,37.7,2.6,48,<0.1,1.1,0.8,<0.1,<0.1,<0.1,<0.01,0.3,<0.5,181,57.1,38.3,24,88.9,715.7,3.3,1,0.6,0.4,16.1,1,0.9,3.8,0.3,4.4,5.2,21.1,137.8,31.9,71.6,9,37,7,1.8,5.4,0.8,4.1,0.7,2,0.3,1.9,0.3,0.7,ALK,Mafic,88.3
83J0198,51.51,0.926,11.9,9.65,0.15,9.77,7.06,3.28,2.23,0.366,0.078,0.17,<0.02,2.6,99.53,825,76.5,2.2,73,0.1,1,3.6,<0.1,<0.1,<0.1,<0.01,0.1,<0.5,202,103.9,42.8,25,71.4,713.2,2.6,1,<0.5,<0.1,16.7,2,1.1,3.7,0.3,4.4,4.4,20.9,125.1,24.9,59.1,7.5,30.7,6.7,1.8,5.4,0.8,3.9,0.7,1.9,0.3,1.8,0.3,0.8,ALK,Mafic,151.7
73S1095,46.9,0.985,9.92,11.53,0.17,13.95,9.89,2,0.34,0.254,0.121,0.05,<0.02,3.5,99.61,88,52.8,8,37,<0.1,<0.5,4.5,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,273,102,45.8,36,3,240.8,0.1,<1,<0.5,<0.1,14.1,1,0.7,2.9,0.2,3.9,4.6,17.8,93,32,80,10.1,42.9,8.2,1.8,5.3,0.8,3.6,0.6,1.9,0.3,1.8,0.3,0.8,ALK,Mafic,97.8
76J0799,52.11,0.68,15.04,8.34,0.13,7.08,10.31,3.32,0.93,0.282,0.049,0.04,0.04,1.4,99.66,291,60.1,2.9,26,<0.1,1.1,<0.5,<0.1,0.1,<0.1,<0.01,0.2,<0.5,180,33.1,31.5,25,39.7,772.3,2.9,<1,<0.5,0.4,17.3,1,0.8,2.5,0.2,4.1,2.9,13.9,94.6,29,71.7,9.3,39.3,6.7,1.7,4.3,0.5,2.7,0.5,1.3,0.2,1.3,0.2,0.6,ALK,Mafic,89
76J0134,50.82,0.635,11.46,8.85,0.16,10.36,7.84,3.09,1.35,0.457,0.109,0.39,<0.02,4.4,99.5,988,51,2.8,56,<0.1,<0.5,<0.5,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,168,142.1,41.8,23,20.5,779.1,0.9,1,<0.5,<0.1,15,2,2.1,4.1,0.3,7.6,5.6,18.4,147.5,46.3,100.4,12.2,49.5,8.9,2.3,6.3,0.8,3.8,0.6,1.6,0.3,1.5,0.2,1,ALK,Mafic,109.8
76J0875,51.71,0.793,11.32,8.11,0.14,11.22,6.78,3.22,2.52,0.816,0.098,0.04,<0.02,2.8,99.55,515,6.4,1.3,92,<0.1,2.6,0.7,<0.1,<0.1,<0.1,<0.01,0.4,<0.5,152,68.4,37.2,23,62.6,439.5,3.2,2,<0.5,<0.1,14.9,2,2.3,6.2,0.3,10.9,6.7,26.7,231.9,80.1,178.4,22.3,90.8,16.8,4.1,11.9,1.5,5.9,0.9,2,0.3,1.6,0.2,0.8,ALK,Mafic,99.7
76J0878,49.25,0.959,14.59,11.8,0.21,8.24,4.49,4.81,0.7,0.635,0.013,0.02,0.07,3.8,99.53,343,25.3,327.4,733,<0.1,1.2,0.7,<0.1,<0.1,1.5,<0.01,<0.1,<0.5,214,27.4,15.8,28,13.1,409.7,1.8,2,<0.5,0.1,18.7,2,2,4.7,0.4,7.9,6.7,28.8,154.4,42.3,101.5,12.9,57.3,11.1,2.9,9.1,1.2,5.6,1,2.6,0.4,2.3,0.4,0.8,ALK,Mafic,1085.7
85J0262,52.71,0.766,13.22,8.97,0.16,5.71,6.59,5.93,1.46,0.586,0.03,0.47,0.18,3.5,99.62,460,48.1,3.9,56,<0.1,<0.5,<0.5,<0.1,0.1,<0.1,<0.01,0.4,<0.5,179,40.2,30.9,24,68.2,902.8,3.3,1,<0.5,0.1,16.5,1,1.9,4.6,0.3,9.2,5.9,24.1,156.4,50.7,112.8,13.9,56.6,10,2.5,7.4,1,4.5,0.8,2.1,0.3,2,0.3,0.6,ALK,Mafic,108
85J0390,46.93,0.707,13.65,9.52,0.18,7.19,8.32,4.89,1.19,0.755,0.038,1.09,<0.02,6.3,99.66,525,67.2,3.4,82,<0.1,<0.5,0.7,<0.1,<0.1,<0.1,<0.01,0.3,<0.5,206,36.2,37.7,22,54.2,184,2.3,2,<0.5,<0.1,16.2,2,3,4.6,0.3,13.7,5.3,24.4,167,65.1,140.5,17.1,69.3,12.9,3.1,9.3,1.1,4.8,0.8,2.1,0.3,1.8,0.3,1.5,ALK,Mafic,152.6
85J0157,47.96,0.556,10.64,7.89,0.13,5.47,10.83,2.9,2.97,0.306,0.072,2.22,0.07,10,99.75,401,32.6,6.5,91,<0.1,<0.5,<0.5,<0.1,0.2,<0.1,<0.01,0.5,<0.5,171,106.9,30.3,27,83.3,184.1,6.3,1,<0.5,0.5,13.8,3,1.4,2.9,0.2,4.2,3.5,18.6,102.2,28.1,62.6,7.8,33.5,7,1.7,5.8,0.8,3.8,0.6,1.7,0.2,1.5,0.2,1.4,ALK,Mafic,130.1
76J0312,36.59,0.532,10.61,12.98,0.17,17.05,6.23,0.03,0.02,0.298,0.14,2.39,1.07,14.8,99.54,344,56.7,4.1,101,<0.1,26.1,2.3,0.2,0.2,0.1,0.01,<0.1,0.6,150,675,81.9,23,1,222.2,0.5,<1,1.4,4.3,12.5,<1,1.3,2.3,0.2,5,3.5,18.3,86.8,31.6,68.6,8.5,35.7,6.3,1.5,5,0.7,3.4,0.6,1.7,0.3,1.6,0.2,0.9,ALK,Mafic,161.8
76J0367,50.14,0.665,12.32,5.89,0.12,5.69,7.63,5.27,0.44,0.487,0.053,2.92,0.41,11,99.74,199,46.3,3.1,43,<0.1,10,2.7,0.3,0.3,0.1,0.08,<0.1,0.5,112,92.2,25.8,17,12.3,389.1,0.5,1,12.1,0.3,15.3,<1,2.3,3.7,0.3,8.1,5.8,16.1,140.2,54,112.1,13.6,55.6,9.4,2.2,6.3,0.8,3.4,0.5,1.4,0.2,1.3,0.2,0.8,ALK,Mafic,92.4
76J0529,46.27,0.614,11.01,7.66,0.14,11.94,10.16,3.49,1.01,0.554,0.108,0.93,<0.02,6.6,99.58,496,3,4.1,86,<0.1,1.3,2,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,134,233.6,40.6,22,26.4,560.2,1.7,<1,<0.5,<0.1,13.3,2,1.6,3,0.2,1.9,7.1,19.8,115.2,62.4,124.8,15.4,60.4,10.3,2.5,7.1,0.9,3.9,0.6,1.7,0.3,1.5,0.2,0.7,ALK,Mafic,93.1
76J0576,52.57,0.76,15.12,9.31,0.16,5.46,4.71,3.78,4.81,0.379,0.029,0.28,<0.02,2.3,99.41,2297,56,5.9,70,<0.1,4.8,12.5,0.8,0.1,<0.1,0.02,<0.1,<0.5,221,38.6,28.4,27,97,961.3,3,1,0.7,0.3,17.9,3,2.4,4.1,0.4,8.7,6.3,23.5,145.7,48.5,101.5,12,47.9,8.4,2.1,6.3,0.9,4.3,0.8,2.4,0.4,2.3,0.3,1.3,ALK,Mafic,131.9
76J0617,31.23,0.812,15.8,14.68,0.28,21.01,4.84,0.05,0.02,0.368,0.227,0.39,<0.02,10.2,99.53,10,4.1,4.2,88,<0.1,1.9,1.2,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,199,340.6,80.2,27,0.5,24.9,0.1,1,0.8,0.1,18.4,<1,1.5,4.2,0.4,7.1,5.5,24.9,141.5,42.5,87.5,10.9,43.6,8.1,2,6.9,1,4.7,0.8,2.3,0.3,1.9,0.3,0.8,ALK,Mafic,96.3
92J0423,53.41,0.653,11.96,7.45,0.14,8.2,8.66,4.95,0.56,0.37,0.084,0.51,0.27,3.2,99.66,266,61.3,2.7,30,<0.1,1.4,0.6,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,144,57.9,33.8,21,9.7,588,0.2,1,<0.5,<0.1,15.7,2,2.1,3.9,0.4,8.3,5.5,21.7,132.6,46.7,99.4,12,47,8.6,2.1,6.7,0.9,4.2,0.8,2.1,0.3,1.9,0.3,0.6,ALK,Mafic,94
92J0633,49.63,0.661,11.58,8.58,0.16,10.3,9.07,3.03,0.19,0.434,0.11,0.73,<0.02,5.9,99.67,124,17.3,2,61,0.1,<0.5,0.8,0.1,<0.1,<0.1,<0.01,<0.1,0.7,191,104.9,40.7,30,3.2,465.3,0.1,1,<0.5,<0.1,14.1,2,1.5,2.8,0.2,5,3.4,17.9,99.5,28.1,65.6,8.1,32.5,6.8,1.7,5.5,0.7,3.4,0.6,1.8,0.3,1.6,0.3,1.3,ALK,Mafic,80.3
85J0242,49.4,0.533,4.73,7.4,0.16,11.71,14.98,2.4,1.23,1.21,0.028,1.4,0.03,6.2,99.91,539,110,66,120,< 0.5,,< 5,< 0.5,< 0.4,,,< 0.1,,132,,33,49,31,519,0.9,2,< 1,< 2,7,3,1.8,3.5,0.2,9,5,29,131,93.5,204,29.3,125,22.7,5.4,18,1.8,7.1,1,2.4,0.3,1.4,0.2,,ALK,Mafic ,296
HD-09-40 7.7M,42.4,0.795,5.99,9.17,0.24,15.55,10.36,0.19,5.01,1.505,0.14,1.78,0.01,8.1,99.51,375,0.7,3.6,127,<0.1,1.6,2,<0.1,<0.1,0.1,<0.01,0.8,0.5,142,277.6,47.4,32,402.6,261.8,15.7,1,<0.5,<0.1,14,5,2.8,7.6,0.2,9.2,5,55.2,277.9,44.6,148.6,22.7,113.7,24.4,5.7,20.9,2.6,10.7,1.9,4.3,0.6,3.1,0.4,0.5,ALK,Mafic ,131.3
85J0235,45.09,1.048,4.69,13.73,0.27,10.96,16.07,1.72,2.42,1.797,0.04,0.08,0.04,1.3,99.17,2374,5.5,2.3,82,<0.1,0.8,1.6,<0.1,<0.1,<0.1,<0.01,0.2,<0.5,215,62.4,52.5,42,111.3,1671.4,3,2,<0.5,<0.1,10.7,1,0.6,4.7,0.1,5.4,3.9,31.3,136.2,143.3,344.1,44.1,188.7,31.7,7.2,21.2,2.2,8,1.1,2.3,0.3,1.9,0.3,1.1,ALK,Mafic ,89.8
LKS101,29.48,1.047,2.33,13.21,0.12,8.36,19.85,0.16,0.27,4.467,<0.002,5.39,0.21,20.1,99.42,234,4.5,6.6,82,<0.1,14,22.9,<0.1,<0.1,<0.1,<0.01,<0.1,<0.5,118,17,40.2,44,13.2,1353.8,10.5,2,2.8,<0.1,7.6,<1,1.1,6.7,<0.1,16.1,0.7,51.3,163.4,223,648.9,79.7,346.4,58.1,13.8,37.1,3.9,14.1,1.7,3.2,0.4,2,0.2,0.3,ALK,Mafic ,93.1
LKS107,33.08,1.368,2.84,14.8,0.17,9.23,19.05,0.02,1.92,3.134,<0.002,3.39,<0.02,13.7,99.31,486,1.8,8.1,65,<0.1,<0.5,18,<0.1,<0.1,<0.1,0.01,0.3,<0.5,134,12.8,56.2,41,63.7,1792.9,13.7,2,1.8,<0.1,8.9,2,1.6,8.5,<0.1,20.4,3,51.5,210.5,246.7,687.2,81.5,345.7,57,13.9,35.8,3.9,14.4,1.7,3.1,0.4,2.1,0.3,0.4,ALK,Mafic ,74.9
LKS094,29.6,1.332,2.64,15.12,0.13,9.27,18.05,0.18,0.31,4.394,<0.002,5.09,0.8,18.4,99.48,61,34.2,8.6,81,<0.1,115,25.9,<0.1,0.1,<0.1,<0.01,<0.1,<0.5,108,12.9,54.6,64,14.1,1122.4,9.3,1,1.8,0.1,7,<1,1.7,6.8,<0.1,17.6,1.8,50,174,186.1,545,68.7,311.3,54.9,13.5,37.6,3.9,13.7,1.7,3.2,0.4,2,0.2,0.3,ALK,Mafic ,123.8
LKS054,37.14,1.83,3.38,21.2,0.31,8.92,20.63,0.51,0.23,2.378,0.003,0.61,0.18,2.7,99.28,172,28.4,6.4,24,<0.1,<0.5,15,0.2,<0.1,<0.1,<0.01,<0.1,<0.5,394,10.8,71.7,39,4.4,1559,0.3,4,1.7,<0.1,12.9,5,1.8,11.6,0.1,24.8,2.3,58.3,330.7,264.7,733.2,86.4,358,58.2,14.1,37,4.1,15.1,1.9,3.9,0.5,2.7,0.4,1.3,ALK,Mafic ,58.8
LKS106,31.14,1.354,2.5,20.06,0.25,9,16.54,0.46,0.85,2.08,<0.002,3.24,0.05,15.3,99.5,207,1.8,5.4,91,<0.1,1.6,9.5,<0.1,<0.1,0.2,<0.01,<0.1,<0.5,227,14.5,64.1,45,40.6,1211.8,31.4,2,2.3,<0.1,8.5,1,1.2,4.2,<0.1,6.7,1.9,26.9,113.5,98.1,281.8,37.3,168.3,29.3,6.6,17.9,2,7.4,0.9,1.8,0.2,1.4,0.2,0.3,ALK,Mafic ,98.2
LKS056,31.32,1.742,3.2,20.13,0.27,7.98,20.68,1.13,0.89,3.726,0.003,2.13,0.28,7.9,98.99,2057,17.5,12.2,53,<0.1,<0.5,12.8,0.1,<0.1,0.1,<0.01,0.2,<0.5,291,15.5,67.7,37,30,2137.8,3.5,4,2.4,<0.1,10.2,6,2.1,9.3,0.1,28.3,1.5,68.3,285.4,339.8,914,105.8,441.6,68.5,16.8,44.4,4.8,17.4,2.3,4.7,0.6,2.9,0.4,0.5,ALK,Mafic ,82.7
LKS112,33.87,1.849,2.64,25.28,0.18,10.54,16.33,0.74,0.14,2.667,0.003,1.23,<0.02,5.2,99.5,52,5.6,4.8,42,<0.1,<0.5,25.1,0.3,<0.1,<0.1,<0.01,<0.1,<0.5,199,25.7,96.5,53,1.6,600.2,0.4,3,1.8,<0.1,13.7,1,1,6.3,<0.1,14.1,0.8,39.1,153.9,156.6,452.3,57.2,255.8,44.6,10.4,28.3,3,10.8,1.3,2.3,0.3,1.5,0.2,1.3,ALK,Mafic ,52.4
TI1902_1,36.4,4.25,4.48,23.24,0.38,7.92,16.97,0.98,0.16,0.838,0.033,0.58,0.03,3.5,99.13,566,197.2,5.3,43,<0.1,<0.5,2.2,<0.1,<0.1,0.2,<0.01,<0.1,0.9,587,87.6,74.1,35,3.2,1121.1,0.3,10,0.5,<0.1,15,2,4.6,31.5,2.3,24.7,25.2,223.8,988.1,223.9,671.8,103.4,495.4,116.2,34,95.6,11,48.6,7.6,17.5,2.2,13.3,1.8,0.5,ALK,Mafic ,245.5
TI1613,43.77,1.021,14.44,10.39,0.3,3.44,16.33,3.48,0.86,0.37,0.024,1.17,0.57,4.9,99.35,648,116.3,17.5,112,<0.1,1.1,3.5,0.1,0.2,0.3,<0.01,0.1,<0.5,248,31.7,36.9,22,19.5,2283.7,0.9,2,0.8,0.4,20.2,2,6.6,8.4,0.8,36.8,15.9,46.1,425.4,190.9,433,48,177.7,29.4,7.5,20.8,2.5,10.1,1.6,4,0.6,3.5,0.5,0.9,ALK,Mafic ,245.8
