SampleID,SourceID,ProjectID,LGC
74J722,asd,mrd,FALSE
74J728,asd,mrd,FALSE
74J730,asd,mrd,FALSE
74J731,asd,mrd,FALSE
74J789,asd,mrd,FALSE
74J795,asd,mrd,FALSE
74J796,asd,mrd,FALSE
74J797,asd,mrd,FALSE
74J798,asd,mrd,FALSE
74J799,asd,mrd,FALSE
74J808,asd,mrd,FALSE
74J808_1,asd,mrd,FALSE
74J840,asd,mrd,FALSE
74J842,asd,mrd,FALSE
74J843,asd,mrd,FALSE
74J844,asd,mrd,FALSE
74J846,asd,mrd,FALSE
74J851,asd,mrd,FALSE
74J853,asd,mrd,FALSE
74J855,asd,mrd,FALSE
74J857,asd,mrd,FALSE
74J863,asd,mrd,FALSE
74J864,asd,mrd,FALSE
74J865,asd,mrd,FALSE
74J867,asd,mrd,FALSE
74J868,asd,mrd,FALSE
74J871,asd,mrd,FALSE
74J875,asd,mrd,FALSE
74J882,asd,mrd,FALSE
74J883,asd,mrd,FALSE
74J884,asd,mrd,FALSE
74J885,asd,mrd,FALSE
74J886,asd,mrd,FALSE
74J889,asd,mrd,FALSE
74J891,asd,mrd,FALSE
74J892,asd,mrd,FALSE
74J892_pink,asd,mrd,FALSE
74J893,asd,mrd,FALSE
74J896,asd,mrd,FALSE
74J899,asd,mrd,FALSE
74J900_1,asd,mrd,FALSE
74J900_2,asd,mrd,FALSE
74J901,asd,mrd,FALSE
74J902,asd,mrd,FALSE
74J904,asd,mrd,FALSE
74J907,asd,mrd,FALSE
74J910,asd,mrd,FALSE
74J912,asd,mrd,FALSE
74J913,asd,mrd,FALSE
74J915,asd,mrd,FALSE
E312563,asd,mrd,FALSE
E312572,asd,mrd,FALSE
E312592,asd,mrd,FALSE
E326226,asd,mrd,FALSE
E326227,asd,mrd,FALSE
E326229,asd,mrd,FALSE
E326234,asd,mrd,FALSE
E326235,asd,mrd,FALSE
E326236,asd,mrd,FALSE
E326237,asd,mrd,FALSE
E326242,asd,mrd,FALSE
E326243,asd,mrd,FALSE
E326248,asd,mrd,FALSE
E326250,asd,mrd,FALSE
E326251,asd,mrd,FALSE
E355001,asd,mrd,FALSE
E355004,asd,mrd,FALSE
E355006,asd,mrd,FALSE
E355012,asd,mrd,FALSE
E355015,asd,mrd,FALSE
E355016,asd,mrd,FALSE
E355020,asd,mrd,FALSE
E355111,asd,mrd,FALSE
E355112,asd,mrd,FALSE
E355116,asd,mrd,FALSE
E355120,asd,mrd,FALSE
E355152,asd,mrd,FALSE
E355156,asd,mrd,FALSE
E355157,asd,mrd,FALSE
E355158,asd,mrd,FALSE
E355176,asd,mrd,FALSE
E355820,asd,mrd,FALSE
E355821,asd,mrd,FALSE
E355838,asd,mrd,FALSE
E355839,asd,mrd,FALSE
E355840,asd,mrd,FALSE
E355841,asd,mrd,FALSE
E355853,asd,mrd,FALSE
E355854,asd,mrd,FALSE
E355855,asd,mrd,FALSE
E356061,asd,mrd,FALSE
E356068,asd,mrd,FALSE
E356069,asd,mrd,FALSE
E375596,asd,mrd,FALSE
E375827,asd,mrd,FALSE
E375833,asd,mrd,FALSE
E375839,asd,mrd,FALSE
E375847,asd,mrd,FALSE
E376243,asd,mrd,FALSE
E376257,asd,mrd,FALSE
E376260,asd,mrd,FALSE
E376301,asd,mrd,FALSE
E376303,asd,mrd,FALSE
E376308,asd,mrd,FALSE
E376325,asd,mrd,FALSE
E376334,asd,mrd,FALSE
E376336,asd,mrd,FALSE
E376353,asd,mrd,FALSE
E376366,asd,mrd,FALSE
E376369,asd,mrd,FALSE
E376376,asd,mrd,FALSE
E376384,asd,mrd,FALSE
E376386,asd,mrd,FALSE
E376387,asd,mrd,FALSE
E376391,asd,mrd,FALSE
E376394,asd,mrd,FALSE
E376395,asd,mrd,FALSE
E376399,asd,mrd,FALSE
E376406,asd,mrd,FALSE
E376410,asd,mrd,FALSE
E376413,asd,mrd,FALSE
E376433,asd,mrd,FALSE
E376436,asd,mrd,FALSE
E376440,asd,mrd,FALSE
E376450,asd,mrd,FALSE
E376465,asd,mrd,FALSE
E376472,asd,mrd,FALSE
E376481,asd,mrd,FALSE
E376495,asd,mrd,FALSE
E376501,asd,mrd,FALSE
E376503,asd,mrd,FALSE
E376505,asd,mrd,FALSE
E376506,asd,mrd,FALSE
E376510,asd,mrd,FALSE
E376514,asd,mrd,FALSE
E376523,asd,mrd,FALSE
E376527,asd,mrd,FALSE
E376535,asd,mrd,FALSE
E376539,asd,mrd,FALSE
E376545,asd,mrd,FALSE
E376551,asd,mrd,FALSE
E376561,asd,mrd,FALSE
E406932,asd,mrd,FALSE
E406933,asd,mrd,FALSE
E406934,asd,mrd,FALSE
E406935,asd,mrd,FALSE
E406936,asd,mrd,FALSE
E406937,asd,mrd,FALSE
E406938,asd,mrd,FALSE
E406939,asd,mrd,FALSE
E406940,asd,mrd,FALSE
E406941,asd,mrd,FALSE
E406942,asd,mrd,FALSE
E406943,asd,mrd,FALSE
E406944,asd,mrd,FALSE
E406945,asd,mrd,FALSE
E608001,asd,mrd,FALSE
E608002,asd,mrd,FALSE
E608003,asd,mrd,FALSE
E608004,asd,mrd,FALSE
E608005,asd,mrd,FALSE
E608159,asd,mrd,FALSE
E608160,asd,mrd,FALSE
E608161,asd,mrd,FALSE
E608162,asd,mrd,FALSE
E608163,asd,mrd,FALSE
E608164,asd,mrd,FALSE
E608165,asd,mrd,FALSE
E608173,asd,mrd,FALSE
E608174,asd,mrd,FALSE
E608175,asd,mrd,FALSE
E608176,asd,mrd,FALSE
E608194,asd,mrd,FALSE
E608195,asd,mrd,FALSE
E608196,asd,mrd,FALSE
E608197,asd,mrd,FALSE
E608283,asd,mrd,FALSE
E608346,asd,mrd,FALSE
E608401,asd,mrd,FALSE
E608464,asd,mrd,FALSE
E608465,asd,mrd,FALSE
E608466,asd,mrd,FALSE
E608467,asd,mrd,FALSE
E608468,asd,mrd,FALSE
E608531,asd,mrd,FALSE
E608532,asd,mrd,FALSE
E608533,asd,mrd,FALSE
E608684,asd,mrd,FALSE
E608685,asd,mrd,FALSE
E608735,asd,mrd,FALSE
E608736,asd,mrd,FALSE
E608737,asd,mrd,FALSE
E608773,asd,mrd,FALSE
E608774,asd,mrd,FALSE
E608775,asd,mrd,FALSE
E608776,asd,mrd,FALSE
E608777,asd,mrd,FALSE
E608801,asd,mrd,FALSE
E631475,asd,mrd,FALSE
E631692,asd,mrd,FALSE
E631782,asd,mrd,FALSE
E631796,asd,mrd,FALSE
G279713,asd,mrd,FALSE
G279714,asd,mrd,FALSE
G279715,asd,mrd,FALSE
G324701,asd,mrd,FALSE
G324702,asd,mrd,FALSE
G324703,asd,mrd,FALSE
G324711,asd,mrd,FALSE
G324712,asd,mrd,FALSE
G324716,asd,mrd,FALSE
G324717,asd,mrd,FALSE
G324718,asd,mrd,FALSE
G324719,asd,mrd,FALSE
G324720,asd,mrd,FALSE
G324721,asd,mrd,FALSE
G324724,asd,mrd,FALSE
G324725,asd,mrd,FALSE
G324726,asd,mrd,FALSE
G327901,asd,mrd,FALSE
G327902,asd,mrd,FALSE
G327903,asd,mrd,FALSE
G327904,asd,mrd,FALSE
